,ticker,growth,price,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,priceToSalesTrailing12Months,forwardPE,fiveYearAvgDividendYield,dividendYield,profitMargins,forwardEps,bookValue,trailingEps,priceToBook,pegRatio,trailingPE,earningsQuarterlyGrowth
0,AGR,0.14359504132231415,69.615,0.03186097,0.77879995,1.76,1.76,2.724777,23.062498,,0.0317,0.11168,2.4,49.442,2.26,1.1194935,5.53,24.49115,-0.2
0,AHH,-0.10284035259549462,9.305,0.07150838,1.3333,0.64,0.44,2.1241443,21.809525,5.65,0.049200002,0.12226,0.42,7.448,0.478,1.2298603,4.7,19.16318,1.113
0,AIN,0.05895909352794315,64.03,0.0136264535,0.2193,0.75,0.76,1.7979859,18.258278,1.27,0.0138,0.111669995,3.02,21.75,3.42,2.5351725,-14.97,16.122807,-0.05
0,AIT,0.0034185251505778336,58.31,0.020871295,2.0323,1.26,1.28,0.73609203,15.448622,2.06,0.0212,0.00741,3.99,21.791,0.62,2.8286908,1.62,99.41935,-0.247
0,AIZ,0.009180327868852478,123.25999999999999,0.02033649,0.39209998,2.49,2.52,0.7356085,11.549719,2.15,0.020599999,0.04063,10.66,100.13,6.315,1.2296016,0.67,19.496437,0.236
0,AJG,0.03423216676228713,108.13,0.016321989,0.4693,1.76,1.8,3.0650456,23.77143,2.46,0.0167,0.10724,4.55,28.666,3.765,3.773111,2.17,28.727757,0.396
0,AJRD,-0.0516789711836152,40.0,,0.0,,,1.5706116,19.712872,,,0.064619996,2.02,8.651,1.524,4.602936,4.07,26.128609,-0.111
0,AJX,-0.053047404063205295,8.39,0.13216867,1.1895,1.097,0.68,3.7407932,7.697248,8.71,0.08189999,0.44403,1.09,15.609,0.956,0.53751045,,8.776152,-0.38
0,AKR,-0.1397306397306397,10.265,0.084231146,1.7917,0.86,,3.0163171,,4.24,,0.14631,0,16.874,0.477,0.6056655,24.31,21.425577,1.138
0,AL,-0.039524421593830295,29.64,0.020338984,0.1118,0.6,0.6,1.610105,5.424682,0.99,0.020299999,0.28667,5.51,51.589,5.184,0.57938707,0.83,5.7658176,0.151
0,ALB,0.01659303954315261,94.525,0.015910773,0.3653,1.505,1.54,2.9731164,22.147886,1.61,0.0163,0.12986,4.26,37.846,4.119,2.492998,1.79,22.906046,-0.445
0,ALG,0.055709559152284704,118.715,0.0042822883,0.1066,0.5,0.52,1.2126102,16.72238,0.48,0.0045,0.048049998,7.06,48.965,4.691,2.41111,3.68,25.167341,-0.372
0,ALK,-0.05843030453082443,37.95,0.027885864,2.5,1.075,,0.70452935,316.91666,1.94,,0.00854,0.12,31.228,0.463,1.2178173,0.28,82.13823,
0,ALL,-0.017463038354403326,91.23,0.022787029,0.1565,2.08,2.16,0.65372944,7.805106,1.84,0.023699999,0.10277,11.75,79.923,13.347,1.1474795,1.54,6.8712068,0.469
0,ALLE,0.047152847152847066,104.66499999999999,0.011294027,0.3856,1.18,1.28,3.5387645,23.931505,0.83,0.0123000005,0.10483,4.38,7.346,3.068,14.26899,-31.47,34.16558,-0.326
0,ALLY,0.17248632730332347,27.735,0.026286967,0.4068,0.72,0.76,1.8833761,8.875796,,0.0275,0.123100005,3.14,36.984,1.787,0.7535691,6.43,15.595972,-0.586
0,ALSN,0.11784140969163004,40.665,0.016157536,0.1808,0.64,0.68,1.9982615,10.024691,1.64,0.0172,0.18174,4.05,6.14,3.547,6.6123776,7.15,11.446293,-0.873
0,ALV,0.07038771792870158,82.32,0.022363834,1.1481,1.86,,1.0101918,14.5097,2.57,,0.01984,5.67,22.231,1.617,3.700688,4.38,50.878166,
0,ALX,-0.07129476996853001,246.725,0.073544435,1.9272,18,18,5.937523,19.053804,4.71,0.0735,0.22431,13.01,44.049,9.34,5.6275964,,26.540686,0.093
0,AMCR,0.035198555956678756,11.46,0.04122807,1.2016001,0.47,0.46,1.442989,16.867647,,0.0403,0.049099997,0.68,3.331,0.313,3.4434104,3.04,36.64537,
0,AME,0.09327048440477403,109.0,0.005931418,0.1658,0.64,0.72,5.2197843,26.078949,0.66,0.0067000003,0.18524,4.18,23.892,3.86,4.562615,-23.85,28.240934,-0.229
0,AMG,0.1293651915735896,76.84,0.012385087,0.3975,0.97,0.04,1.7854146,6.279874,,0.0005,0.05949,12.72,60.998,2.552,1.3095511,-1.53,31.30094,-0.715
0,AMH,0.024755927475592854,29.435000000000002,0.0068096695,0.7143,0.2,0.2,8.0458975,122.458336,0.92,0.0068,0.11935,0.24,17.749,0.274,1.6558678,2.43,107.26278,-0.197
0,AMK,-0.055877483443708686,22.84,,0.0,,,3.7973857,19.663794,,,-0.0299,1.16,11.708,0.143,1.9482404,0.75,159.51048,
0,AMN,0.1999634436117712,65.38,,0.0,,,1.3041621,20.70978,,,0.03648,3.17,16.547,1.82,3.9674864,2.44,36.07143,-0.227
0,AMOV,0.05249999999999999,12.71,0.0012568736,1.4506,0.016,0.35,,,3.34,0.0271,0.02417,,2.22,0.4,5.689189,,31.575,0.397
0,AMP,0.09364206217218873,173.14,0.023642784,0.20459999,3.95,4.16,1.684022,9.373903,2.57,0.0249,0.20497999,18.24,53.894,19.245,3.1725237,1.24,8.884385,
0,AMRC,0.31744988498192583,40.03,,0.0,,,2.0054393,36.117115,,,0.04364,1.11,9.214,0.866,4.350988,2,46.293304,-0.526
0,AMT,-0.045798486658701676,239.23,0.01735849,0.96059996,4.14,4.33,13.654652,46.79688,1.78,0.0182,0.24699,5.12,8.162,4.309,29.355553,3.77,55.60455,0.04
0,AMX,0.05450041288191576,12.42,0.0012374324,1.4467999,0.016,0.34,,10.382114,2.21,0.025899999,0.02417,1.23,2.22,0.4,5.7522526,2.1,31.925001,0.397
0,AN,0.11658398299078687,63.065,,0.0,,,0.27195787,10.503333,,,0.01508,6,35.977,3.392,1.7516747,1.45,18.57901,1.776
0,ANET,0.043400055345447885,226.615,,0.0,,,7.9836597,23.46784,,,0.33155,9.64,39.973,9.404,5.65957,3.87,24.056784,-0.235
0,AON,0.04380672062791269,213.07,0.008377362,0.234,1.76,1.84,4.489115,19.92322,1.03,0.0088,0.16083999,10.68,15.555,7.481,13.679202,3.06,28.442722,0.437
0,AP,0.23140495867768585,4.4399999999999995,0,0.0,0,,0.23136128,9.122448,,,0.008,0.49,4.214,0.218,1.0607498,,20.504587,
0,APAM,0.19858712715855575,45.815,0.05691234,0.9203,2.61,2.54,4.405563,12.44837,7.96,0.0554,0.20413,3.68,1.971,2.751,23.24201,0.86,16.652128,0.178
0,APD,0.0004732607666824151,295.445,0.016783591,0.58,5,5.36,7.412725,30.077234,2.31,0.018,0.21577999,9.84,52.782,8.555,5.6072145,3.44,34.59497,-0.085
0,APHA,0.02127659574468077,4.875,,0.0,,,,,,,-0.15605,,5.345,0.299,0.89803565,,16.053513,
0,AQN,0.14202049780380666,15.625,0.037098844,0.59599996,0.578,0.62,5.7221227,,4.42,0.0398,0.31642,,7.192,0.959,2.169077,,16.266945,0.827
