,ticker,growth,price,trailingAnnualDividendYield,payoutRatio,trailingAnnualDividendRate,dividendRate,priceToSalesTrailing12Months,forwardPE,fiveYearAvgDividendYield,dividendYield,profitMargins,forwardEps,bookValue,trailingEps,priceToBook,pegRatio,trailingPE,earningsQuarterlyGrowth
0,AIN,0.10205278592375366,65.625,0.013601741,0.2193,0.75,0.76,1.8380934,18.665564,1.27,0.0138,0.111669995,3.02,21.75,3.42,2.5917242,-14.97,16.482456,-0.05
0,AIT,0.02263779527559051,61.980000000000004,0.020441271,2.0323,1.26,1.28,0.74445134,15.62406,2.06,0.0212,0.00741,3.99,21.791,0.62,2.860814,1.62,100.548386,-0.247
0,AIZ,0.006521561914078378,106.52000000000001,0.02022417,0.39209998,2.49,2.52,0.7376997,11.582552,2.15,0.020499999,0.04063,10.66,100.13,6.315,1.2330971,0.67,19.55186,0.236
0,AJG,0.04909336419753085,108.82499999999999,0.01627219,0.4693,1.76,1.8,3.0823317,23.905493,2.46,0.0166,0.10724,4.55,28.666,3.765,3.7943904,2.17,28.889772,0.396
0,AJRD,-0.04729891956782706,40.105000000000004,,0.0,,,1.5650896,19.643564,,,0.064619996,2.02,8.651,1.524,4.586753,4.07,26.036745,-0.111
0,AJX,-0.08710033076074986,8.379999999999999,0.1307509,1.1895,1.097,0.68,3.6917481,7.5963297,8.71,0.081,0.44403,1.09,15.609,0.956,0.53046316,,8.661088,-0.38
0,AKR,-0.18667763157894735,9.895,0.08414873,1.7917,0.86,,2.9189215,,4.24,,0.14631,0,16.874,0.477,0.5861088,24.31,20.733753,1.138
0,AL,-0.06689590497030318,29.87,0.020073604,0.1118,0.6,0.6,1.6079503,5.417423,0.99,0.0201,0.28667,5.51,51.589,5.184,0.57861173,0.83,5.758102,0.151
0,ALB,-0.009856915739268612,93.73,0.015951246,0.3653,1.505,1.54,2.9438105,21.929575,1.61,0.0163,0.12986,4.26,37.846,4.119,2.4684246,1.79,22.680262,-0.445
0,ALG,0.04870651204281895,118.375,0.004235135,0.1066,0.5,0.52,1.2074747,16.651558,0.48,0.0044,0.048049998,7.06,48.965,4.691,2.4008985,3.68,25.060755,-0.372
0,ALK,-0.03601175894169517,39.45,0.02826716,2.5,1.075,,0.7289832,327.91666,1.94,,0.00854,0.12,31.228,0.463,1.260087,0.28,84.9892,
0,ALL,-0.013111608570514965,91.88,0.022680188,0.1565,2.08,2.16,0.659931,7.879149,1.84,0.023599999,0.10277,11.75,79.923,13.347,1.158365,1.54,6.9363904,0.469
0,ALLE,0.05676899849018624,97.66499999999999,0.011257393,0.3856,1.18,1.28,3.5445037,23.970318,0.83,0.012200001,0.10483,4.38,7.346,3.068,14.292131,-31.47,34.22099,-0.326
0,ALLY,0.13431061806656097,28.55,0.02583423,0.4068,0.72,0.76,1.9168279,9.117834,,0.0277,0.123100005,3.14,36.984,1.787,0.7741185,6.43,16.021265,-0.586
0,ALSN,0.15715077605321515,41.67,0.015763547,0.1808,0.64,0.68,2.0548623,10.308641,1.64,0.0167,0.18174,4.05,6.14,3.547,6.7996745,7.15,11.770511,-0.873
0,ALV,0.0677116793010406,83.065,0.022608485,1.1481,1.86,,1.0203834,14.656084,2.57,,0.01984,5.67,22.231,1.617,3.7380233,4.38,51.391464,
0,ALX,-0.0829856804600293,245.48000000000002,0.07261285,1.9272,18,18,5.8441095,18.754036,4.71,0.0726,0.22431,13.01,44.049,9.34,5.539059,,26.123127,0.093
0,AMCR,0.04355716878402904,11.575,0.04097646,1.2016001,0.47,0.46,1.4467632,16.911764,,0.0404,0.049099997,0.68,3.331,0.313,3.4524167,3.04,36.741215,
0,AME,0.1063551213616678,110.025,0.0058710207,0.1658,0.64,0.72,5.2600064,26.279905,0.66,0.0066000004,0.18524,4.18,23.892,3.86,4.597773,-23.85,28.45855,-0.229
0,AMG,0.10605846631831639,78.28999999999999,0.012143215,0.3975,0.97,0.04,1.7505468,6.1572328,,0.0005,0.05949,12.72,60.998,2.552,1.2839766,-1.53,30.689655,-0.715
0,AMH,0.01783216783216779,29.365000000000002,0.0068050358,0.7143,0.2,0.2,7.969244,121.29167,0.92,0.0068,0.11935,0.24,17.749,0.274,1.6400924,2.43,106.24088,-0.197
0,AMK,-0.01253132832080206,23.630000000000003,,0.0,,,3.9355636,20.37931,,,-0.0299,1.16,11.708,0.143,2.0191321,0.75,165.31467,
0,AMN,0.2182214948172394,67.11,,0.0,,,1.3307817,21.13249,,,0.03648,3.17,16.547,1.82,4.0484676,2.44,36.80769,-0.227
0,AMOV,0.054817275747508276,12.66,0.001266825,1.4506,0.016,0.35,,,3.34,0.0274,0.02417,,2.22,0.4,5.722973,,31.762499,0.397
0,AMP,0.08566500574932934,170.44,0.023102118,0.20459999,3.95,4.16,1.6738772,9.317434,2.57,0.024300002,0.20497999,18.24,53.894,19.245,3.153412,1.24,8.830865,
0,AMRC,0.35969302635969314,40.575,,0.0,,,2.0384545,36.71171,,,0.04364,1.11,9.214,0.866,4.422618,2,47.055428,-0.526
0,AMT,-0.024319652691240923,240.95,0.017278798,0.96059996,4.14,4.33,13.8324585,47.40625,1.78,0.018099999,0.24699,5.12,8.162,4.309,29.73781,3.77,56.328613,0.04
0,AMX,0.04597701149425282,12.765,0.0012529365,1.4467999,0.016,0.34,,10.357723,2.21,0.026199998,0.02417,1.23,2.22,0.4,5.7387385,2.1,31.849998,0.397
0,AN,0.10568383658969815,62.144999999999996,,0.0,,,0.268635,10.375,,,0.01508,6,35.977,3.392,1.730272,1.45,18.352005,1.776
0,ANET,0.06797726196115583,223.115,,0.0,,,7.5487857,23.386929,,,0.33155,9.64,39.973,9.404,5.640057,3.87,23.97384,-0.235
0,AON,0.05001479727730085,212.98000000000002,0.008271454,0.234,1.76,1.84,4.4912252,19.932585,1.03,0.0086,0.16083999,10.68,15.555,7.481,13.685632,3.06,28.456089,0.437
0,AP,0.2534818941504178,4.475,0,0.0,0,,0.23291405,9.183673,,,0.008,0.49,4.214,0.218,1.067869,,20.642202,
0,APAM,0.24089560291340706,46.019999999999996,0.056974456,0.9203,2.61,2.54,4.4238353,12.5,7.96,0.0554,0.20413,3.68,1.971,2.751,23.338408,0.86,16.721193,0.178
0,APD,0.0036018446830712314,286.1,0.016894175,0.58,5,5.36,7.4673266,30.298782,2.31,0.018099999,0.21577999,9.84,52.782,8.555,5.6485167,3.44,34.849796,-0.085
0,APHA,0.013071895424836777,4.675000000000001,,0.0,,,,,,,-0.18927999,,5.345,0.299,0.869972,,15.55184,
0,AQN,0.1591746499631541,15.795,0.037051283,0.59599996,0.578,0.62,5.8058867,,4.42,0.0398,0.31642,,7.192,0.959,2.1871524,,16.402502,0.827
0,AQUA,0.2481012658227848,24.82,,0.0,,,1.9813653,37.923077,,,0.05763,0.65,3.799,0.708,6.4885497,1.97,34.816383,4.171
0,ARC,-0.04629629629629628,0.97,0.019417476,0.2,0.02,0.04,0.13314618,5.722222,,0.0381,0.01192,0.18,3.264,0.092,0.3155637,,11.195652,1.788
0,ARD,-0.10800508259212205,16.825,0.041339986,,0.58,0.6,0.50764793,8.942675,,0.0423,0.2134,1.57,-1.557,5.901,,-4.19,2.3792577,
0,ARE,-0.019837909761703187,162.345,0.025443094,1.2447,4.12,4.24,12.082011,58.505413,2.84,0.026199998,0.23862,2.77,75.719,3.341,2.1402817,557.6,48.50643,1.916
0,ARES,0.1395408163265306,44.705,0.032601316,2.5714002,1.44,1.6,4.2098246,20.776743,4.84,0.036199998,0.06392,2.15,4.775,0.559,9.354973,1.89,79.910545,0.754
0,ARI,0.0410022779043282,9.165,0.18054053,20.875,1.67,1.4,17.290648,7.553719,11.4,0.1514,0.42727003,1.21,15.947,0.105,0.5731486,110.71,87.04762,-0.02
